frame_no,rel_time,src,dst,srcport,dstport,proto,length,tcp_stream,seq,ack,win,flags,is_retx,is_ooo,is_ka,is_zerowin,opcua_type,opcua_service,opcua_reqid,opcua_seq,opcua_chunk
39,2025-08-12 15:26:45.511189,192.168.159.198,192.168.159.241,4840,62985,TCP,1514,1,1625,497,8192,,0,0,0,0,,,,,
40,2025-08-12 15:26:45.511274,192.168.159.241,192.168.159.198,62985,4840,TCP,54,1,497,3085,65535,,0,0,0,0,,,,,
41,2025-08-12 15:26:45.516175,192.168.159.198,192.168.159.241,4840,62985,TCP,1514,1,3085,497,8192,,0,0,0,0,,,,,
42,2025-08-12 15:26:45.516175,192.168.159.198,192.168.159.241,4840,62985,TCP,1514,1,4545,497,8192,,0,0,0,0,,,,,
43,2025-08-12 15:26:45.516268,192.168.159.241,192.168.159.198,62985,4840,TCP,54,1,497,6005,65535,,0,0,0,0,,,,,
44,2025-08-12 15:26:45.519104,192.168.159.198,192.168.159.241,4840,62985,TCP,1514,1,6005,497,8192,,0,0,0,0,,,,,
45,2025-08-12 15:26:45.519104,192.168.159.198,192.168.159.241,4840,62985,TCP,946,1,7465,497,8192,,0,0,0,0,,,,,
46,2025-08-12 15:26:45.519199,192.168.159.241,192.168.159.198,62985,4840,TCP,54,1,497,8357,65535,,0,0,0,0,,,,,
47,2025-08-12 15:26:45.529111,192.168.159.198,192.168.159.241,4840,62985,TCP,1514,1,8357,497,8192,,0,0,0,0,,,,,
48,2025-08-12 15:26:45.529111,192.168.159.198,192.168.159.241,4840,62985,TCP,1430,1,9817,497,8192,,0,0,0,0,,,,,
49,2025-08-12 15:26:45.529231,192.168.159.241,192.168.159.198,62985,4840,TCP,54,1,497,11193,65535,,0,0,0,0,,,,,
50,2025-08-12 15:26:45.536765,192.168.159.241,192.168.159.198,62985,4840,TCP,171,1,497,11193,65535,,0,0,0,0,,,,,
51,2025-08-12 15:26:45.552909,192.168.159.198,192.168.159.241,4840,62985,TCP,106,1,11193,614,8192,,0,0,0,0,,,,,
52,2025-08-12 15:26:45.557675,192.168.159.241,192.168.159.198,62985,4840,TCP,195,1,614,11245,65483,,0,0,0,0,,,,,
53,2025-08-12 15:26:45.681011,192.168.159.198,192.168.159.241,4840,62985,TCP,106,1,11245,755,8192,,0,0,0,0,,,,,
54,2025-08-12 15:26:45.681136,192.168.159.241,192.168.159.198,62985,4840,TCP,117,1,755,11297,65431,,0,0,0,0,,,,,
55,2025-08-12 15:26:45.683955,192.168.159.241,192.168.159.198,62985,4840,TCP,111,1,818,11297,65431,,0,0,0,0,,,,,
56,2025-08-12 15:26:45.685963,192.168.159.241,192.168.159.198,62986,4840,TCP,66,2,0,0,65535,,0,0,0,0,,,,,
57,2025-08-12 15:26:45.689018,192.168.159.198,192.168.159.241,4840,62985,TCP,60,1,11297,876,8135,,0,0,0,0,,,,,
58,2025-08-12 15:26:45.692007,192.168.159.198,192.168.159.241,4840,62986,TCP,60,2,0,1,8192,,0,0,0,0,,,,,
59,2025-08-12 15:26:45.692152,192.168.159.241,192.168.159.198,62986,4840,TCP,54,2,1,1,65535,,0,0,0,0,,,,,
60,2025-08-12 15:26:45.694215,192.168.159.241,192.168.159.198,62986,4840,TCP,116,2,1,1,65535,,0,0,0,0,,,,,
61,2025-08-12 15:26:45.704977,192.168.159.198,192.168.159.241,4840,62985,TCP,106,1,11297,876,8135,,0,0,0,0,,,,,
62,2025-08-12 15:26:45.705115,192.168.159.241,192.168.159.198,62985,4840,TCP,54,1,876,11349,0,,0,0,0,0,,,,,
63,2025-08-12 15:26:45.754098,192.168.159.198,192.168.159.241,4840,62986,TCP,82,2,1,63,8192,,0,0,0,0,,,,,
64,2025-08-12 15:26:45.757616,192.168.159.241,192.168.159.198,62986,4840,TCP,187,2,63,29,65507,,0,0,0,0,,,,,
65,2025-08-12 15:26:45.772969,192.168.159.198,192.168.159.241,4840,62986,TCP,190,2,29,196,8192,,0,0,0,0,,,,,
66,2025-08-12 15:26:45.777161,192.168.159.241,192.168.159.198,62986,4840,TCP,355,2,196,165,65371,,0,0,0,0,,,,,
67,2025-08-12 15:26:45.890042,192.168.159.198,192.168.159.241,4840,62986,TCP,1514,2,165,497,8192,,0,0,0,0,,,,,
68,2025-08-12 15:26:45.893006,192.168.159.198,192.168.159.241,4840,62986,TCP,1514,2,1625,497,8192,,0,0,0,0,,,,,
69,2025-08-12 15:26:45.893048,192.168.159.241,192.168.159.198,62986,4840,TCP,54,2,497,3085,65535,,0,0,0,0,,,,,
70,2025-08-12 15:26:45.900032,192.168.159.198,192.168.159.241,4840,62986,TCP,1514,2,3085,497,8192,,0,0,0,0,,,,,
71,2025-08-12 15:26:45.901015,192.168.159.198,192.168.159.241,4840,62986,TCP,1514,2,4545,497,8192,,0,0,0,0,,,,,
72,2025-08-12 15:26:45.901051,192.168.159.241,192.168.159.198,62986,4840,TCP,54,2,497,6005,65535,,0,0,0,0,,,,,
73,2025-08-12 15:26:45.903011,192.168.159.198,192.168.159.241,4840,62986,TCP,1514,2,6005,497,8192,,0,0,0,0,,,,,
74,2025-08-12 15:26:45.903011,192.168.159.198,192.168.159.241,4840,62986,TCP,946,2,7465,497,8192,,0,0,0,0,,,,,
75,2025-08-12 15:26:45.903073,192.168.159.241,192.168.159.198,62986,4840,TCP,54,2,497,8357,65535,,0,0,0,0,,,,,
76,2025-08-12 15:26:45.911051,192.168.159.198,192.168.159.241,4840,62986,TCP,1514,2,8357,497,8192,,0,0,0,0,,,,,
77,2025-08-12 15:26:45.913098,192.168.159.198,192.168.159.241,4840,62986,TCP,1430,2,9817,497,8192,,0,0,0,0,,,,,
78,2025-08-12 15:26:45.913205,192.168.159.241,192.168.159.198,62986,4840,TCP,54,2,497,11193,65535,,0,0,0,0,,,,,
79,2025-08-12 15:26:45.919387,192.168.159.241,192.168.159.198,62986,4840,TCP,171,2,497,11193,65535,,0,0,0,0,,,,,
80,2025-08-12 15:26:45.936837,192.168.159.198,192.168.159.241,4840,62986,TCP,106,2,11193,614,8192,,0,0,0,0,,,,,
81,2025-08-12 15:26:45.939586,192.168.159.241,192.168.159.198,62986,4840,TCP,195,2,614,11245,65483,,0,0,0,0,,,,,
82,2025-08-12 15:26:46.066839,192.168.159.198,192.168.159.241,4840,62986,TCP,106,2,11245,755,8192,,0,0,0,0,,,,,
83,2025-08-12 15:26:46.066904,192.168.159.241,192.168.159.198,62986,4840,TCP,117,2,755,11297,65431,,0,0,0,0,,,,,
84,2025-08-12 15:26:46.067936,192.168.159.241,192.168.159.198,62986,4840,TCP,111,2,818,11297,65431,,0,0,0,0,,,,,
85,2025-08-12 15:26:46.068925,192.168.159.241,192.168.159.198,62987,4840,TCP,66,3,0,0,65535,,0,0,0,0,,,,,
86,2025-08-12 15:26:46.072818,192.168.159.198,192.168.159.241,4840,62986,TCP,60,2,11297,876,8135,,0,0,0,0,,,,,
87,2025-08-12 15:26:46.072818,192.168.159.198,192.168.159.241,4840,62987,TCP,60,3,0,1,8192,,0,0,0,0,,,,,
88,2025-08-12 15:26:46.072910,192.168.159.241,192.168.159.198,62987,4840,TCP,54,3,1,1,65535,,0,0,0,0,,,,,
89,2025-08-12 15:26:46.073547,192.168.159.241,192.168.159.198,62987,4840,TCP,116,3,1,1,65535,,0,0,0,0,,,,,
90,2025-08-12 15:26:46.096848,192.168.159.198,192.168.159.241,4840,62986,TCP,106,2,11297,876,8135,,0,0,0,0,,,,,
91,2025-08-12 15:26:46.096932,192.168.159.241,192.168.159.198,62986,4840,TCP,54,2,876,11349,0,,0,0,0,0,,,,,
92,2025-08-12 15:26:46.140822,192.168.159.198,192.168.159.241,4840,62987,TCP,82,3,1,63,8192,,0,0,0,0,,,,,
93,2025-08-12 15:26:46.141980,192.168.159.241,192.168.159.198,62987,4840,TCP,187,3,63,29,65507,,0,0,0,0,,,,,
94,2025-08-12 15:26:46.161833,192.168.159.198,192.168.159.241,4840,62987,TCP,190,3,29,196,8192,,0,0,0,0,,,,,
95,2025-08-12 15:26:46.163665,192.168.159.241,192.168.159.198,62987,4840,TCP,355,3,196,165,65371,,0,0,0,0,,,,,
96,2025-08-12 15:26:46.274109,192.168.159.198,192.168.159.241,4840,62987,TCP,1514,3,165,497,8192,,0,0,0,0,,,,,
97,2025-08-12 15:26:46.277002,192.168.159.198,192.168.159.241,4840,62987,TCP,1514,3,1625,497,8192,,0,0,0,0,,,,,
98,2025-08-12 15:26:46.277039,192.168.159.241,192.168.159.198,62987,4840,TCP,54,3,497,3085,65535,,0,0,0,0,,,,,
