"No.","Time","Source","Destination","Protocol","Length","Info"
"2432","33.528309","192.168.159.241","192.168.159.198","TCP","54","63068  >  4840 [ACK] Seq=497 Ack=11193 Win=65535 Len=0"
"2433","33.533739","192.168.159.241","192.168.159.198","OpcUa","171","UA Secure Conversation Message: ActivateSessionRequest"
"2434","33.540589","TPLink_73:76:c4","Broadcast","Realtek","60",""
"2435","33.549269","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2436","33.555477","192.168.159.241","192.168.159.198","OpcUa","197","UA Secure Conversation Message: ReadRequest"
"2437","33.682299","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2438","33.682425","192.168.159.241","192.168.159.198","OpcUa","117","UA Secure Conversation Message: CloseSessionRequest"
"2439","33.685976","192.168.159.241","192.168.159.198","OpcUa","111","CloseSecureChannel message: CloseSecureChannelRequest"
"2440","33.688332","192.168.159.241","192.168.159.198","TCP","66","63069  >  4840 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2441","33.698225","192.168.159.198","192.168.159.241","TCP","60","4840  >  63068 [ACK] Seq=11297 Ack=878 Win=8135 Len=0"
"2442","33.700321","192.168.159.198","192.168.159.241","TCP","60","4840  >  63069 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460"
"2443","33.700512","192.168.159.241","192.168.159.198","TCP","54","63069  >  4840 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2444","33.701131","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2445","33.701217","192.168.159.241","192.168.159.198","TCP","54","63068  >  4840 [RST, ACK] Seq=878 Ack=11349 Win=0 Len=0"
"2446","33.702706","192.168.159.241","192.168.159.198","OpcUa","116","Hello message"
"2447","33.748167","192.168.159.198","192.168.159.241","OpcUa","82","Acknowledge message"
"2448","33.751565","192.168.159.241","192.168.159.198","OpcUa","187","OpenSecureChannel message"
"2449","33.774121","192.168.159.198","192.168.159.241","OpcUa","190","OpenSecureChannel message"
"2450","33.778455","192.168.159.241","192.168.159.198","OpcUa","355","UA Secure Conversation Message: CreateSessionRequest"
"2451","33.891571","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63069 [ACK] Seq=165 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2458]"
"2452","33.891571","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63069 [ACK] Seq=1625 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2458]"
"2453","33.891707","192.168.159.241","192.168.159.198","TCP","54","63069  >  4840 [ACK] Seq=497 Ack=3085 Win=65535 Len=0"
"2454","33.894234","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63069 [ACK] Seq=3085 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2458]"
"2455","33.899265","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63069 [ACK] Seq=4545 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2458]"
"2456","33.899314","192.168.159.241","192.168.159.198","TCP","54","63069  >  4840 [ACK] Seq=497 Ack=6005 Win=65535 Len=0"
"2457","33.902265","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63069 [ACK] Seq=6005 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2458]"
"2458","33.902265","192.168.159.198","192.168.159.241","OpcUa","946","UA Secure Conversation Message (Message fragment 52)"
"2459","33.902324","192.168.159.241","192.168.159.198","TCP","54","63069  >  4840 [ACK] Seq=497 Ack=8357 Win=65535 Len=0"
"2460","33.912316","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63069 [ACK] Seq=8357 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2461]"
"2461","33.912316","192.168.159.198","192.168.159.241","OpcUa","1430","UA Secure Conversation Message: CreateSessionResponse (Message Reassembled)"
"2462","33.912448","192.168.159.241","192.168.159.198","TCP","54","63069  >  4840 [ACK] Seq=497 Ack=11193 Win=65535 Len=0"
"2463","33.921171","192.168.159.241","192.168.159.198","OpcUa","171","UA Secure Conversation Message: ActivateSessionRequest"
"2464","33.936127","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2465","33.942958","192.168.159.241","192.168.159.198","OpcUa","173","UA Secure Conversation Message: ReadRequest"
"2466","34.066120","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2467","34.066239","192.168.159.241","192.168.159.198","OpcUa","117","UA Secure Conversation Message: CloseSessionRequest"
"2468","34.068894","192.168.159.241","192.168.159.198","OpcUa","111","CloseSecureChannel message: CloseSecureChannelRequest"
"2469","34.070774","192.168.159.241","192.168.159.198","TCP","66","63070  >  4840 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2470","34.074215","192.168.159.198","192.168.159.241","TCP","60","4840  >  63069 [ACK] Seq=11297 Ack=854 Win=8135 Len=0"
"2471","34.074215","192.168.159.198","192.168.159.241","TCP","60","4840  >  63070 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460"
"2472","34.074359","192.168.159.241","192.168.159.198","TCP","54","63070  >  4840 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2473","34.075760","192.168.159.241","192.168.159.198","OpcUa","116","Hello message"
"2474","34.095136","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2475","34.095246","192.168.159.241","192.168.159.198","TCP","54","63069  >  4840 [RST, ACK] Seq=854 Ack=11349 Win=0 Len=0"
"2476","34.137104","192.168.159.198","192.168.159.241","OpcUa","82","Acknowledge message"
"2477","34.140499","192.168.159.241","192.168.159.198","OpcUa","187","OpenSecureChannel message"
"2478","34.163128","192.168.159.198","192.168.159.241","OpcUa","190","OpenSecureChannel message"
"2479","34.166563","192.168.159.241","192.168.159.198","OpcUa","355","UA Secure Conversation Message: CreateSessionRequest"
"2480","34.283242","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63070 [ACK] Seq=165 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2487]"
"2481","34.285207","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63070 [ACK] Seq=1625 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2487]"
"2482","34.285255","192.168.159.241","192.168.159.198","TCP","54","63070  >  4840 [ACK] Seq=497 Ack=3085 Win=65535 Len=0"
"2483","34.288215","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63070 [ACK] Seq=3085 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2487]"
"2484","34.291354","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63070 [ACK] Seq=4545 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2487]"
"2485","34.291354","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63070 [ACK] Seq=6005 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2487]"
"2486","34.291409","192.168.159.241","192.168.159.198","TCP","54","63070  >  4840 [ACK] Seq=497 Ack=7465 Win=65535 Len=0"
"2487","34.293184","192.168.159.198","192.168.159.241","OpcUa","946","UA Secure Conversation Message (Message fragment 52)"
"2488","34.293247","192.168.159.241","192.168.159.198","TCP","54","63070  >  4840 [ACK] Seq=497 Ack=8357 Win=64643 Len=0"
"2489","34.301252","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63070 [ACK] Seq=8357 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2490]"
"2490","34.304251","192.168.159.198","192.168.159.241","OpcUa","1430","UA Secure Conversation Message: CreateSessionResponse (Message Reassembled)"
"2491","34.304341","192.168.159.241","192.168.159.198","TCP","54","63070  >  4840 [ACK] Seq=497 Ack=11193 Win=65535 Len=0"
"2492","34.311139","192.168.159.241","192.168.159.198","OpcUa","171","UA Secure Conversation Message: ActivateSessionRequest"
"2493","34.327195","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2494","34.334032","192.168.159.241","192.168.159.198","OpcUa","197","UA Secure Conversation Message: ReadRequest"
